Date,Open,High,Low,Close,Adj Close,Volume
2012-10-24,47.610001,47.630001,47.540001,47.540001,40.718338,1800
2012-10-25,47.540001,47.540001,47.540001,47.540001,40.718338,0
2012-10-26,47.599998,47.869999,47.599998,47.849998,40.983852,8400
2012-10-31,47.950001,47.950001,47.700001,47.750000,40.898209,13900
2012-11-01,48.150002,48.299999,48.070000,48.169998,41.257942,1900
2012-11-02,48.250000,48.250000,47.750000,47.799999,40.941025,2800
2012-11-05,47.680000,47.700001,47.639999,47.660000,40.821121,13100
2012-11-06,47.950001,47.950001,47.950001,47.950001,41.069515,100
2012-11-07,47.150002,47.520000,47.150002,47.459999,40.649818,13500
2012-11-08,47.160000,47.169998,47.000000,47.080002,40.324348,55300
2012-11-09,46.590000,47.040001,46.590000,46.880001,40.153046,4700
2012-11-12,46.799999,46.939999,46.779999,46.880001,40.153046,25100
2012-11-13,46.880001,46.880001,46.880001,46.880001,40.153046,0
2012-11-14,46.529999,46.570000,46.529999,46.549999,39.870403,2100
2012-11-15,46.299999,46.459999,46.279999,46.279999,39.639137,3100
2012-11-16,46.189999,46.340000,45.939999,46.340000,39.690529,2600
2012-11-19,47.139999,47.250000,47.139999,47.189999,40.418564,800
2012-11-20,47.049999,47.290001,47.049999,47.290001,40.504223,15300
2012-11-21,47.380001,47.480000,47.380001,47.470001,40.658394,8500
2012-11-23,48.320000,48.320000,48.270000,48.279999,41.352154,1300
2012-11-26,48.169998,48.310001,48.119999,48.310001,41.377857,700
2012-11-27,48.139999,48.360001,48.119999,48.180000,41.266510,77500
2012-11-28,48.130001,48.450001,48.130001,48.450001,41.497765,4500
2012-11-29,48.770000,48.869999,48.619999,48.869999,41.857487,4400
2012-11-30,49.000000,49.000000,48.860001,48.970001,41.943150,3900
2012-12-03,49.000000,49.000000,48.830002,48.830002,41.823242,200
2012-12-04,49.049999,49.150002,49.049999,49.130001,42.080189,1900
2012-12-05,49.380001,49.380001,49.310001,49.310001,42.234360,400
2012-12-06,49.360001,49.360001,49.240002,49.279999,42.208660,2600
2012-12-07,49.169998,49.290001,49.169998,49.290001,42.217224,1000
2012-12-10,49.230000,49.389999,49.230000,49.389999,42.302883,3100
2012-12-11,49.669998,49.700001,49.630001,49.650002,42.525578,2200
2012-12-12,49.799999,50.060001,49.740002,49.860001,42.705444,23200
2012-12-13,49.799999,49.799999,49.520000,49.610001,42.491310,7700
2012-12-14,49.730000,49.970001,49.730000,49.849998,42.696877,2000
2012-12-17,49.910000,50.060001,49.840000,49.930000,42.765392,4600
2012-12-18,50.380001,50.430000,49.849998,50.430000,43.342087,4461200
2012-12-19,50.709999,50.740002,50.540001,50.660000,43.539757,4400
2012-12-20,50.900002,50.919998,50.790001,50.849998,43.703053,1800
2012-12-21,50.400002,50.540001,50.250000,50.400002,43.316299,5900
2012-12-24,50.639999,50.639999,50.380001,50.380001,43.299110,9000
2012-12-26,50.639999,50.639999,50.220001,50.349998,43.273335,9900
2012-12-27,50.759998,50.759998,50.299999,50.639999,43.522568,36500
2012-12-28,50.200001,50.349998,50.099998,50.119999,43.075653,41600
2012-12-31,50.459999,51.060001,50.459999,50.849998,43.703053,22100
