Date,Open,High,Low,Close,Adj Close,Volume
2012-10-24,48.560001,48.619999,48.220001,48.220001,42.655724,149500
2012-10-25,48.759998,48.840000,48.410000,48.540001,42.938793,9800
2012-10-26,48.240002,48.360001,48.040001,48.189999,42.629192,618700
2012-10-31,48.610001,48.610001,48.040001,48.230000,42.664574,17500
2012-11-01,48.590000,49.000000,48.590000,49.000000,43.345726,217200
2012-11-02,49.189999,49.189999,48.560001,48.560001,42.956493,112600
2012-11-05,48.590000,48.950001,48.549999,48.930000,43.283798,45600
2012-11-06,49.169998,49.389999,48.990002,49.270000,43.584568,24700
2012-11-07,48.799999,48.900002,48.310001,48.549999,42.947643,121200
2012-11-08,48.680000,48.790001,48.049999,48.060001,42.514191,101800
2012-11-09,48.049999,48.570000,48.049999,48.259998,42.691109,28100
2012-11-12,48.389999,48.470001,48.259998,48.320000,42.744186,9400
2012-11-13,47.759998,48.040001,47.740002,47.830002,42.310730,87300
2012-11-14,47.980000,47.980000,47.230000,47.230000,41.779964,36100
2012-11-15,47.310001,47.480000,47.230000,47.400002,41.930351,53400
2012-11-16,47.400002,47.509998,47.000000,47.509998,42.027653,92500
2012-11-19,47.939999,48.230000,47.939999,48.230000,42.664574,7000
2012-11-20,47.930000,48.110001,47.849998,48.099998,42.549576,24900
2012-11-21,47.889999,48.029999,47.799999,47.990002,42.452274,11000
2012-11-23,48.650002,48.779999,48.540001,48.779999,43.151104,81700
2012-11-26,48.720001,48.750000,48.560001,48.750000,43.124569,84800
2012-11-27,48.650002,48.759998,48.389999,48.389999,42.806103,21500
2012-11-28,48.200001,48.730000,48.000000,48.709999,43.089188,119200
2012-11-29,48.990002,49.130001,48.860001,49.080002,43.416485,72700
2012-11-30,49.060001,49.099998,49.000000,49.000000,43.345726,7000
2012-12-03,49.290001,49.290001,49.049999,49.070000,43.407642,26900
2012-12-04,49.299999,49.389999,49.180000,49.209999,43.531483,40500
2012-12-05,49.669998,49.889999,49.549999,49.669998,43.938404,25000
2012-12-06,49.849998,49.980000,49.730000,49.959999,44.194946,17500
2012-12-07,50.270000,50.270000,49.919998,50.160000,44.371864,52700
