Date,Open,High,Low,Close,Adj Close,Volume
2014-11-07,25.160000,25.250000,25.160000,25.250000,22.765169,500
2014-11-10,25.250000,25.250000,25.120001,25.120001,22.647964,5700
2014-11-11,24.910000,25.180000,24.910000,25.120001,22.647964,8000
2014-11-12,25.198999,25.200001,25.100000,25.100000,22.629932,800
2014-11-13,24.950001,24.950001,24.530001,24.559999,22.143072,2900
2014-11-14,24.559999,24.559999,24.559999,24.559999,22.143072,0
2014-11-17,24.719999,24.719999,24.719999,24.719999,22.287327,200
2014-11-18,24.719999,24.719999,24.590000,24.629999,22.206184,12000
2014-11-19,24.709999,24.709999,24.549999,24.549999,22.134056,2600
2014-11-20,24.549999,24.549999,24.549999,24.549999,22.134056,0
2014-11-21,24.990000,25.000000,24.790001,24.950001,22.494694,8300
2014-11-24,24.879999,24.900000,24.742001,24.770000,22.332407,900
2014-11-25,24.900000,24.940001,24.650000,24.660000,22.233231,6600
2014-11-26,24.730000,24.730000,24.730000,24.730000,22.296343,100
2014-11-28,23.920000,23.920000,23.510000,23.510000,21.196402,3100
2014-12-01,23.459999,23.580000,23.450001,23.580000,21.259514,6000
2014-12-02,23.780001,23.780001,23.459999,23.459999,21.151321,1200
2014-12-03,23.459999,23.510000,23.360001,23.360001,21.061165,1200
2014-12-04,23.330000,23.389999,23.290001,23.309999,21.016085,22000
2014-12-05,23.309999,23.309999,23.309999,23.309999,21.016085,0
2014-12-08,22.868999,22.912001,22.850000,22.850000,20.601353,1300
2014-12-09,22.889999,23.080000,22.850000,23.030001,20.763639,28000
2014-12-10,23.299999,23.299999,22.770000,22.770000,20.529226,200
2014-12-11,22.599001,22.639999,22.520000,22.530001,20.312845,31400
2014-12-12,22.480000,22.480000,22.320000,22.330000,20.132524,51700
2014-12-15,22.330000,22.330000,21.940001,21.940001,19.780905,1700
2014-12-16,21.799999,22.040001,21.760000,21.848000,19.697958,14100
2014-12-17,25.000000,25.000000,22.010000,22.010000,19.844017,6100
2014-12-18,22.250000,22.250000,21.930000,22.035000,19.866556,13300
2014-12-19,22.059999,22.270000,21.940001,22.270000,20.078430,3500
2014-12-22,22.270000,22.270000,21.799999,21.799999,19.654680,3700
2014-12-23,21.860001,22.118999,21.860001,22.070000,19.898111,54300
2014-12-24,21.809999,21.820000,21.730000,21.745001,19.605095,15700
2014-12-26,21.860001,21.860001,21.680000,21.730000,19.591570,12400
2014-12-29,21.870001,21.870001,21.540001,21.540001,19.420269,15200
2014-12-30,21.580000,21.580000,21.520000,21.540001,19.420269,10300
2014-12-31,21.219999,21.340000,21.200001,21.340000,19.239950,9100
2015-01-02,22.379999,22.379999,21.120001,21.160000,19.077663,6700
2015-01-05,21.049999,21.049999,20.860001,20.900000,18.843250,2500
2015-01-06,20.799999,20.910000,20.646999,20.646999,18.615147,5500
2015-01-07,20.690001,20.690001,20.520000,20.525999,18.506054,1200
2015-01-08,20.530001,20.580000,20.480000,20.540001,18.518679,2800
2015-01-09,20.959999,20.959999,20.440001,20.440001,18.428518,1900
2015-01-12,20.360001,20.360001,20.170000,20.195999,18.208529,800
2015-01-13,20.120001,20.120001,20.079000,20.079000,18.103045,700
2015-01-14,19.959999,20.278999,19.885000,20.277000,18.281559,5100
2015-01-15,20.054001,20.080000,20.010000,20.020000,18.049850,7300
2015-01-16,20.190001,20.344000,20.129999,20.344000,18.341967,1700
2015-01-20,20.120001,20.139999,20.000000,20.090000,18.112963,6000
2015-01-21,20.590000,20.590000,20.170000,20.180000,18.194105,1700
2015-01-22,20.330000,20.330000,20.160000,20.233999,18.242790,1600
2015-01-23,20.100000,20.219999,20.080000,20.080000,18.103945,4800
2015-01-26,20.070000,20.070000,20.010000,20.040001,18.067883,1200
2015-01-27,20.049999,20.160000,20.000000,20.160000,18.176073,2100
2015-01-28,20.070000,20.070000,19.879999,19.879999,17.923626,700
2015-01-29,19.879999,19.879999,19.879999,19.879999,17.923626,0
2015-01-30,19.709999,20.240000,19.700001,20.240000,18.248199,1900
2015-02-02,20.299999,20.488001,20.259001,20.488001,18.471796,5200
2015-02-03,20.844000,21.150000,20.844000,21.150000,19.068647,4300
2015-02-04,21.150000,21.150000,21.150000,21.150000,19.068647,0
2015-02-05,20.670000,20.830000,20.670000,20.830000,18.780138,17700
2015-02-06,20.879999,20.879999,20.860001,20.860001,18.807188,6400
2015-02-09,21.010000,21.086000,21.010000,21.049999,18.978489,1200
2015-02-10,21.049999,21.049999,21.049999,21.049999,18.978489,0
2015-02-11,21.320000,21.320000,20.621000,20.621000,18.591705,12900
2015-02-12,20.920000,20.920000,20.920000,20.920000,18.861282,200
2015-02-13,20.920000,20.920000,20.920000,20.920000,18.861282,0
2015-02-17,20.920000,20.920000,20.920000,20.920000,18.861282,0
2015-02-18,21.152000,21.152000,20.965000,20.965000,18.901854,1200
2015-02-19,20.709999,20.709999,20.709999,20.709999,18.671947,400
2015-02-20,20.860001,20.860001,20.830999,20.850000,18.798172,400
2015-02-23,20.740000,20.740000,20.660000,20.670000,18.635885,900
2015-02-24,20.690001,20.690001,20.690001,20.690001,18.653915,300
2015-02-25,20.799999,20.799999,20.719999,20.719999,18.680964,2600
2015-02-26,21.389999,21.389999,20.760000,20.760000,18.717028,700
2015-02-27,21.010000,21.070000,21.010000,21.040001,18.969473,800
2015-03-02,20.959999,20.959999,20.760000,20.760000,18.717028,2500
2015-03-03,20.760000,20.760000,20.760000,20.760000,18.717028,0
2015-03-04,20.799999,20.799999,20.690001,20.690001,18.653915,1400
2015-03-05,21.139999,21.139999,20.629999,20.629999,18.599819,2000
2015-03-06,20.549999,20.549999,20.370001,20.370001,18.365408,900
2015-03-09,20.410000,20.410000,20.280001,20.280001,18.284266,1000
2015-03-10,20.820000,20.820000,20.010000,20.010000,18.040834,2900
2015-03-11,20.000000,20.090000,19.990000,20.090000,18.112963,1000
2015-03-12,20.250000,20.260000,20.250000,20.260000,18.266232,700
2015-03-13,19.959999,19.959999,19.650000,19.650000,17.716261,8600
2015-03-16,19.610001,19.629999,19.549999,19.601999,17.672985,2700
2015-03-17,19.500000,19.500000,19.450001,19.450001,17.535944,500
2015-03-18,19.424999,19.480000,19.424999,19.480000,17.562990,400
2015-03-19,19.709999,19.709999,19.639999,19.670000,17.734293,2000
2015-03-20,19.990000,19.990000,19.930000,19.930000,17.968706,400
2015-03-23,20.209999,20.209999,20.209999,20.209999,18.221151,500
2015-03-24,20.240000,20.240000,20.028999,20.030001,18.058867,500
2015-03-25,20.030001,20.030001,20.030001,20.030001,18.058867,0
2015-03-26,20.360001,20.360001,20.356001,20.356001,18.352785,4200
2015-03-27,20.760000,20.760000,20.125999,20.125999,18.145418,400
2015-03-30,20.125999,20.125999,20.125999,20.125999,18.145418,0
2015-03-31,19.930000,19.990000,19.750000,19.750000,17.806421,2200
2015-04-01,19.820000,20.100000,19.820000,20.100000,18.121979,600
2015-04-02,20.000000,20.030001,20.000000,20.030001,18.058867,400
2015-04-06,20.260000,20.350000,20.260000,20.350000,18.347376,2200
2015-04-07,20.280001,20.430000,20.280001,20.379999,18.374422,1100
2015-04-08,20.330000,20.330000,20.295000,20.295000,18.297787,400
2015-04-09,19.971001,19.971001,19.971001,19.971001,18.005672,200
2015-04-10,20.180000,20.180000,20.150000,20.153000,18.169762,2100
2015-04-13,20.120001,20.120001,20.110001,20.110001,18.130993,400
2015-04-14,20.170000,20.190001,20.160000,20.160000,18.176073,800
2015-04-15,20.299999,20.299999,20.299999,20.299999,18.302294,400
2015-04-16,20.670000,20.750000,20.662001,20.750000,18.708010,2000
2015-04-17,20.780001,20.780001,20.780001,20.780001,18.735060,400
2015-04-20,20.629999,20.740000,20.600000,20.600000,18.572773,1100
2015-04-21,21.450001,21.450001,20.576000,20.610001,18.581789,2000
2015-04-22,20.590000,20.600000,20.570000,20.580000,18.554741,1500
2015-04-23,21.120001,21.120001,20.809999,20.809999,18.762108,1300
2015-04-24,20.830000,20.830000,20.830000,20.830000,18.780138,300
2015-04-27,20.830000,20.830000,20.830000,20.830000,18.780138,0
2015-04-28,20.840000,20.840000,20.840000,20.840000,18.789154,100
2015-04-29,20.879999,20.879999,20.879999,20.879999,18.825216,600
2015-04-30,21.010000,21.120001,20.957001,21.120001,19.041601,1600
2015-05-01,21.670000,21.670000,21.030001,21.160000,19.077663,57500
2015-05-04,21.100000,21.100000,21.100000,21.100000,19.023569,300
2015-05-05,21.100000,21.100000,21.100000,21.100000,19.023569,0
2015-05-06,21.541000,21.541000,21.306000,21.306000,19.209295,1400
2015-05-07,21.530001,21.530001,21.530001,21.530001,19.411253,200
2015-05-08,21.129999,21.129999,20.945000,21.104000,19.027176,2200
2015-05-11,21.129999,21.129999,21.129999,21.129999,19.050615,400
2015-05-12,21.254000,21.270000,21.254000,21.270000,19.176838,500
2015-05-13,21.420000,21.420000,21.280001,21.290001,19.194872,15800
2015-05-14,21.570000,21.570000,21.379999,21.379999,19.276014,300
2015-05-15,21.240000,21.330000,21.240000,21.320000,19.221918,3200
2015-05-18,21.340000,21.340000,21.180000,21.219999,19.131758,52700
2015-05-19,21.080000,21.080000,20.844000,20.844000,18.792761,1100
2015-05-20,20.844000,20.844000,20.844000,20.844000,18.792761,0
2015-05-21,20.990000,21.070000,20.959999,20.995001,18.928902,11200
2015-05-22,20.879999,20.879999,20.879999,20.879999,18.825216,200
2015-05-26,20.500000,20.549999,20.344000,20.344000,18.341967,1300
2015-05-27,20.250000,20.250000,20.059999,20.059999,18.085913,900
2015-05-28,19.980000,20.150000,19.980000,20.110001,18.130993,2700
2015-05-29,20.250000,20.379999,20.250000,20.379999,18.374422,1600
2015-06-01,20.379999,20.379999,20.379999,20.379999,18.374422,0
2015-06-02,20.620001,20.620001,20.580000,20.580000,18.554741,500
2015-06-03,20.650000,20.650000,20.200001,20.200001,18.212137,5700
2015-06-04,20.340000,20.340000,19.990000,19.990000,18.022802,700
2015-06-05,20.073999,20.080000,20.049999,20.080000,18.103945,5900
2015-06-08,20.280001,20.280001,20.280001,20.280001,18.284266,300
2015-06-09,20.400000,20.400000,20.400000,20.400000,18.392454,300
2015-06-10,20.990000,20.990000,20.469999,20.870001,18.816204,2900
2015-06-11,20.870001,20.870001,20.870001,20.870001,18.816204,0
2015-06-12,20.870001,20.870001,20.870001,20.870001,18.816204,0
2015-06-15,20.306999,20.340000,20.306999,20.340000,18.338360,500
2015-06-16,20.320000,20.320000,20.320000,20.320000,18.320328,100
2015-06-17,20.320000,20.320000,20.320000,20.320000,18.320328,200
2015-06-18,20.480000,20.480000,20.480000,20.480000,18.464582,300
2015-06-19,20.480000,20.480000,20.480000,20.480000,18.464582,0
2015-06-22,20.330000,20.330000,20.330000,20.330000,18.329344,500
2015-06-23,20.330000,20.330000,20.330000,20.330000,18.329344,0
2015-06-24,20.350000,20.540001,20.350000,20.469999,18.455566,1100
2015-06-25,20.400000,20.400000,20.370001,20.370001,18.365408,300
2015-06-26,20.480000,20.480000,20.388000,20.388000,18.381636,600
2015-06-29,20.490000,20.490000,20.216000,20.216000,18.226563,500
2015-06-30,20.510000,20.510000,20.445999,20.445999,18.433926,400
2015-07-01,20.445999,20.445999,20.445999,20.445999,18.433926,0
2015-07-02,20.445999,20.445999,20.445999,20.445999,18.433926,0
2015-07-06,20.090000,20.090000,19.580000,19.580000,17.653151,4000
2015-07-07,19.549999,19.629999,19.549999,19.629999,17.698229,1400
2015-07-08,19.780001,19.780001,19.370001,19.700001,17.761341,800
2015-07-09,19.950001,20.030001,19.910000,19.910000,17.950676,3000
2015-07-10,19.910000,19.910000,19.910000,19.910000,17.950676,0
2015-07-13,20.040001,25.510000,19.929001,20.000000,18.031818,1500
2015-07-14,22.000000,22.000000,19.049999,19.200001,17.310547,2800
2015-07-15,19.568001,19.850000,19.480000,19.664000,17.728884,8000
2015-07-16,19.664000,19.664000,19.664000,19.664000,17.728884,0
2015-07-17,19.620001,19.620001,19.200001,19.200001,17.310547,2000
2015-07-20,19.320000,19.320000,19.320000,19.320000,17.418737,100
2015-07-21,19.350000,19.350000,19.040001,19.041000,17.167192,900
2015-07-22,19.040001,19.040001,18.860001,19.040001,17.166292,1000
2015-07-23,18.990000,18.990000,18.990000,18.990000,17.121212,200
2015-07-24,18.990000,18.990000,18.990000,18.990000,17.121212,0
2015-07-27,18.250000,18.299999,18.230000,18.299999,16.499113,5800
2015-07-28,18.299999,18.299999,18.299999,18.299999,16.499113,0
2015-07-29,18.299999,18.299999,18.299999,18.299999,16.499113,0
2015-07-30,18.559999,18.559999,18.260000,18.260000,16.463049,400
2015-07-31,18.450001,18.459999,18.440001,18.459999,16.643368,4000
2015-08-03,17.912001,17.912001,17.825001,17.825001,16.070860,1100
2015-08-04,18.040001,18.040001,18.040001,18.040001,16.264702,400
2015-08-05,18.100000,18.100000,17.895000,17.895000,16.133968,1500
2015-08-06,17.895000,17.895000,17.895000,17.895000,16.133968,0
2015-08-07,17.910000,17.940001,17.870001,17.870001,16.111429,1300
2015-08-10,17.969999,17.969999,17.969999,17.969999,16.201588,200
2015-08-11,18.000000,18.000000,17.940001,18.000000,16.228636,800
2015-08-12,18.110001,18.110001,18.110001,18.110001,16.327812,300
2015-08-13,18.110001,18.110001,18.110001,18.110001,16.327812,0
2015-08-14,17.809999,17.820000,17.809999,17.820000,16.066349,1100
2015-08-17,17.820000,17.820000,17.740000,17.740000,15.994222,800
2015-08-18,17.680000,17.680000,17.629999,17.639999,15.904063,900
2015-08-19,17.510000,17.510000,17.360001,17.389999,15.678666,1400
2015-08-20,17.437000,17.437000,17.437000,17.437000,15.721041,400
2015-08-21,17.320000,17.320000,17.167000,17.167000,15.477611,4500
2015-08-24,16.719999,16.912001,16.670000,16.750000,15.101648,2800
2015-08-25,16.858000,16.858000,16.858000,16.858000,15.199020,200
2015-08-26,16.770000,16.770000,16.770000,16.770000,15.119679,300
2015-08-27,16.990000,16.990000,16.990000,16.990000,15.318029,600
2015-08-28,17.650000,17.799999,17.650000,17.799999,16.048317,1900
2015-08-31,17.480000,18.100000,17.480000,18.080000,16.300764,12300
2015-09-01,17.990000,17.990000,17.549999,17.569000,15.840051,7500
2015-09-02,17.770000,17.770000,17.770000,17.770000,16.021271,200
2015-09-03,17.820000,17.885000,17.770000,17.820000,16.066349,700
2015-09-04,17.760000,17.760000,17.620001,17.620001,15.886032,1600
2015-09-08,17.690001,17.690001,17.309999,17.309999,15.606538,500
2015-09-09,17.799999,17.799999,17.639999,17.639999,15.904063,600
2015-09-10,19.469999,19.469999,17.520000,17.730000,15.985208,3600
2015-09-11,17.358000,17.360001,17.358000,17.360001,15.651618,300
2015-09-14,17.540001,17.540001,17.490000,17.490000,15.768825,500
2015-09-15,17.469999,17.469999,17.440001,17.450001,15.732762,700
2015-09-16,17.860001,17.860001,17.750000,17.780001,16.030287,800
2015-09-17,17.730000,17.730000,17.730000,17.730000,15.985208,100
2015-09-18,17.549999,17.549999,17.549999,17.549999,15.822919,300
2015-09-21,17.500000,17.610001,17.500000,17.610001,15.877016,1400
2015-09-22,18.330000,18.330000,17.340000,17.490000,15.768825,700
2015-09-23,17.639999,17.700001,17.379999,17.379999,15.669649,900
2015-09-24,17.330000,17.480000,17.330000,17.469999,15.750793,500
2015-09-25,17.559999,17.559999,17.549999,17.549999,15.822919,900
2015-09-28,17.430000,17.430000,17.396999,17.396999,15.684978,700
2015-09-29,17.450001,17.450001,17.400000,17.400000,15.687682,900
2015-09-30,17.510000,17.510000,17.510000,17.510000,15.786858,200
2015-10-01,17.455999,17.455999,17.455999,17.455999,15.738171,200
2015-10-02,17.330000,17.330000,17.330000,17.330000,15.624571,200
2015-10-05,17.753000,17.753000,17.753000,17.753000,16.005943,1100
