Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,55.500000,55.734379,55.437500,55.500000,36.653175,9500
2000-05-30,55.890621,56.140621,55.890621,56.140621,37.076237,1200
2000-05-31,56.515621,56.828121,56.515621,56.546879,37.344540,25500
2000-06-01,56.812500,57.328121,56.812500,57.062500,37.685070,15300
2000-06-02,58.375000,58.515621,58.093750,58.093750,38.366108,14200
2000-06-05,58.000000,58.000000,57.718750,57.781250,38.159740,1600
2000-06-06,57.640621,57.640621,57.515621,57.625000,38.056545,2100
2000-06-07,57.671879,57.843750,57.671879,57.718750,38.118458,20400
2000-06-08,57.781250,57.781250,57.343750,57.343750,37.870819,19200
2000-06-09,57.734379,57.734379,57.328121,57.328121,37.860477,4100
2000-06-12,57.406250,57.468750,57.406250,57.468750,37.953365,4200
2000-06-13,57.140621,57.609379,57.140621,57.546879,38.004955,20400
2000-06-14,57.781250,57.921879,57.625000,57.656250,38.077206,115000
2000-06-15,57.843750,57.843750,57.062500,57.093750,37.705704,30800
2000-06-16,57.250000,57.250000,56.250000,56.250000,37.148487,2100
2000-06-19,56.281250,56.765621,56.281250,56.609379,37.385830,13900
2000-06-20,56.437500,56.625000,56.000000,56.000000,36.983372,19500
2000-06-21,56.062500,56.250000,55.968750,55.968750,37.008343,18000
2000-06-22,56.062500,56.062500,55.546879,55.593750,36.760376,8200
2000-06-23,55.828121,55.921879,55.500000,55.500000,36.698395,1700
2000-06-26,55.671879,56.015621,55.515621,55.609379,36.770706,13900
2000-06-27,56.000000,56.000000,55.593750,55.593750,36.760376,14400
2000-06-28,55.718750,55.906250,55.375000,55.406250,36.636391,5800
2000-06-29,55.000000,55.203121,55.000000,55.203121,36.502075,300
2000-06-30,55.312500,55.328121,54.812500,54.812500,36.243786,7700
2000-07-03,54.375000,54.437500,54.375000,54.437500,35.995834,800
2000-07-05,55.000000,55.171879,54.921879,54.921879,36.316124,1100
2000-07-06,54.984379,55.125000,54.812500,54.812500,36.243786,12500
2000-07-07,54.109379,55.640621,54.109379,55.437500,36.657074,5500
2000-07-10,55.687500,55.765621,55.500000,55.500000,36.698395,64200
2000-07-11,55.484379,55.968750,55.359379,55.734379,36.853367,33600
2000-07-12,56.140621,56.140621,55.765621,55.765621,36.874027,1000
2000-07-13,56.125000,56.125000,55.656250,55.875000,36.946362,32300
2000-07-14,56.125000,56.125000,55.859379,55.953121,36.998013,13500
2000-07-17,55.843750,55.859379,55.390621,55.390621,36.626064,4800
2000-07-18,55.375000,55.625000,55.250000,55.250000,36.533077,32700
2000-07-19,55.437500,55.656250,55.312500,55.312500,36.574394,22700
2000-07-20,55.515621,55.765621,55.515621,55.734379,36.853367,38800
2000-07-21,55.781250,55.781250,55.250000,55.312500,36.574394,9100
2000-07-24,55.312500,55.406250,55.000000,55.000000,36.367775,4300
2000-07-25,55.093750,55.593750,55.093750,55.109379,36.440094,38700
2000-07-26,55.125000,55.281250,54.750000,54.906250,36.305771,19100
2000-07-27,54.937500,55.218750,54.937500,55.187500,36.491749,15900
2000-07-28,55.125000,55.125000,54.250000,54.250000,35.871853,4500
2000-07-31,54.750000,54.921879,54.593750,54.734379,36.192131,10100
2000-08-01,54.765621,55.328121,54.765621,55.187500,36.491749,20400
2000-08-02,55.437500,55.796879,55.437500,55.750000,36.863697,11400
2000-08-03,55.375000,55.953121,55.375000,55.890621,36.956680,80600
2000-08-04,56.125000,56.546879,56.125000,56.546879,37.390617,7400
2000-08-07,56.750000,57.093750,56.625000,57.078121,37.741898,10600
2000-08-08,56.765621,56.906250,56.765621,56.906250,37.628246,6800
2000-08-09,57.000000,57.000000,56.500000,56.562500,37.400951,30200
2000-08-10,56.718750,56.781250,56.687500,56.687500,37.483612,1700
2000-08-11,56.968750,57.375000,56.968750,57.250000,37.855553,6000
2000-08-14,57.218750,57.750000,57.218750,57.750000,38.186161,126100
2000-08-15,57.750000,57.750000,57.375000,57.562500,38.062172,243900
2000-08-16,57.500000,57.656250,57.062500,57.062500,37.731560,51800
2000-08-17,57.468750,57.484379,57.343750,57.437500,37.979534,34100
2000-08-18,57.343750,57.359379,57.156250,57.359379,37.927864,20900
2000-08-21,57.375000,57.531250,57.359379,57.531250,38.041519,3000
2000-08-22,57.625000,57.875000,57.625000,57.718750,38.165504,10100
2000-08-23,57.500000,57.562500,57.468750,57.562500,38.062172,22200
2000-08-24,57.500000,57.500000,57.281250,57.437500,37.979534,7000
