,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,SHV
1999-10-26,0.011744326443608885,0.0,0.0,0.0,0.0,0.027438849679997542,0.018070516406652415,0.023430283992208548,0.052962575173572245,0.04371448146599458,0.0,0.0,0.02991706279122451,0.1383382707188729,0.0,0.0,0.05147042499405101,0.07508379283603779,0.5278294154977796
1999-10-27,0.01156719816333024,0.0,0.0,0.0,0.0,0.027640668247085547,0.018393266535421626,0.023755100706952133,0.05316179596192677,0.04396641583568951,0.0,0.0,0.030800204403009162,0.13908148654887165,0.0,0.0,0.050624074443984556,0.07053409938813786,0.530475689765591
1999-10-28,0.012138439109008105,0.0,0.0,0.0,0.0,0.02753660354573897,0.01816289232666069,0.023495836582800904,0.05028678985300783,0.044689122339135946,0.0,0.0,0.03098218054859718,0.14058243834898265,0.0,0.0,0.05005652185839441,0.06629451251532353,0.5357746629723499
1999-10-29,0.013699303052569394,0.0,0.0,0.0,0.0,0.02754068434423899,0.018797184502962767,0.024435239508308317,0.050667678036794,0.0457418977911669,0.0,0.0,0.031908920376790086,0.1397328294632106,0.0,0.0,0.04540755453765958,0.07021961270215853,0.5318490956841408
1999-11-01,0.014593621324803845,0.0,0.0,0.0,0.0,0.029217150370105256,0.020137977673095928,0.02552495623673198,0.05116349044965647,0.04701447442880397,0.0,0.0,0.03193841845751563,0.138211329153995,0.0,0.0,0.04553370593720276,0.07164011507262377,0.5250247608954652
1999-11-02,0.014326203075905975,0.0,0.0,0.0,0.0,0.02927619091611383,0.020311009834884635,0.02557538491538545,0.05313465268613464,0.04675790094081327,0.0,0.0,0.03190966605805025,0.13861019180231926,0.0,0.0,0.048280458742132396,0.06530319167854903,0.5265151493497113
1999-11-03,0.014055054578333392,0.0,0.0,0.0,0.0,0.029645599254742017,0.02012405227556106,0.025426059034403686,0.05531228485640262,0.04673545227692808,0.0,0.0,0.032808722374919,0.13845231777978567,0.0,0.0,0.047317518317603495,0.06465401129781954,0.5254689279535014
1999-11-04,0.014333489568528143,0.0,0.0,0.0,0.0,0.02938847099455345,0.02033788606031742,0.02537005799248088,0.056931228888781854,0.046459746679839334,0.0,0.0,0.0332488860799794,0.13825686400595788,0.0,0.0,0.04714467699683909,0.06460861254445281,0.5239200801882697
1999-11-05,0.014542831219624863,0.0,0.0,0.0,0.0,0.03068325794504442,0.021067514955853083,0.025373249050422274,0.058425844231099505,0.04659563325634053,0.0,0.0,0.03400683069053338,0.13849536131896473,0.0,0.0,0.046726842953709824,0.06380298279465813,0.5202796515837492
1999-11-08,0.015168061244951134,0.0,0.0,0.0,0.0,0.030030357710913985,0.021140492718120584,0.024936112131813494,0.06127906515647096,0.04658401073341572,0.0,0.0,0.034164532660593126,0.13841308758716114,0.0,0.0,0.04648464084820886,0.06292429800963696,0.5188753411987141
1999-11-09,0.015471697640990906,0.0,0.0,0.0,0.0,0.029405528194688522,0.020990268332525142,0.02486399428675049,0.06402842271551522,0.046343489541085456,0.0,0.0,0.03487330166472598,0.1382319663425421,0.0,0.0,0.04680269760428176,0.06158802919852723,0.5174006044783673
1999-11-10,0.014911358070835046,0.0,0.0,0.0,0.0,0.029205423736829855,0.02153729722183802,0.025340706855959495,0.06520040190035918,0.04557950990959803,0.0,0.0,0.035634425800298526,0.13747409210606057,0.0,0.0,0.04811681256889066,0.06299910292706137,0.5140008689022693
1999-11-12,0.015269520656828439,0.0,0.0,0.0,0.0,0.030143827000539285,0.022237057322781105,0.02551152599772565,0.066602073143541,0.045700519012014926,0.0,0.0,0.03510216936341633,0.13609317818463937,0.0,0.0,0.048519421767948774,0.06607991198201868,0.5087407955685465
1999-11-15,0.015952791859675634,0.0,0.0,0.0,0.0,0.02956663996772219,0.02197804640476431,0.025315643504764077,0.06672080267088915,0.046062767397152385,0.0,0.0,0.03528380609676095,0.13661911371619131,0.0,0.0,0.05010671127513885,0.06249062284202481,0.5099030542649163
1999-11-16,0.01574088157457315,0.0,0.0,0.0,0.0,0.028675114452192823,0.02280891481954768,0.02585877251431542,0.06732167581522758,0.045970732167312074,0.0,0.0,0.0349543919903496,0.13658678300722596,0.0,0.0,0.050995976755827496,0.06203758676082886,0.5090491701425994
1999-11-17,0.01678274942154295,0.0,0.0,0.0,0.0,0.02888687834253044,0.022679591505694905,0.026193196969641654,0.06755629424736577,0.04662616831072165,0.0,0.0,0.033926853435642695,0.13518278127698605,0.0,0.0,0.052120797463842024,0.06411407243174379,0.5059306165942882
1999-11-18,0.01625372001469333,0.0,0.0,0.0,0.0,0.02983379792450171,0.02313593050863428,0.027069432727709092,0.0656110932052691,0.046894751614284656,0.0,0.0,0.0324828287891177,0.1352430675923205,0.0,0.0,0.053108621010507985,0.06368582974049299,0.5066809268724687
1999-11-19,0.01714127760489572,0.0,0.0,0.0,0.0,0.03073668935508972,0.024146041788725203,0.02739273611398767,0.06690348432566894,0.047393663320996725,0.0,0.0,0.0321207592099866,0.13507556956550487,0.0,0.0,0.04964094540333599,0.06351942941114866,0.50592940390066
1999-11-22,0.01706840204295474,0.0,0.0,0.0,0.0,0.031528049320623475,0.02425523030386343,0.026639254816843136,0.07034271099087243,0.046751828301407915,0.0,0.0,0.03080774855651809,0.13422801453786923,0.0,0.0,0.05173237220038141,0.06325821795819103,0.5033881709704751
1999-11-23,0.01678528411071763,0.0,0.0,0.0,0.0,0.03265564581285994,0.0239816568076695,0.026314352619190382,0.07235256685466719,0.045603105796431245,0.0,0.0,0.031485933245928195,0.13360378951549073,0.0,0.0,0.05252636764086704,0.06372450268334624,0.5009667949128319
