,ACWV,AGG,DBC,EMB,EMGF,GLD,HYG,IMTM,IQLT,IVLU,MTUM,QUAL,SCHH,SIZE,SPTL,TIP,USMV,VLUE,SHV,,Sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216120878
10/26/1999,0.04371448,0,0.051470423,0.029917062,0.052962574,0.075083792,0,0.018070517,0.023430283,0.027438849,0.011744325,0,0,0,0,0.138338274,0,0,0.527829422,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/1999,0.043966418,0,0.050624059,0.030800217,0.053161798,0.07053403,0,0.018393272,0.023755105,0.027640671,0.011567194,0,0,0,0,0.139081501,0,0,0.530475736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/1999,0.044689135,0,0.050056498,0.030982196,0.050286748,0.066294383,0,0.018162894,0.023495837,0.027536604,0.012138444,0,0,0,0,0.140582475,0,0,0.535774787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/1999,0.045741927,0,0.045407464,0.03190895,0.050667642,0.070219534,0,0.018797195,0.024435254,0.027540685,0.013699332,0,0,0,0,0.139732854,0,0,0.531849163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1999,0.047014523,0,0.045533617,0.031938448,0.051163462,0.071640056,0,0.020138009,0.025524987,0.029217176,0.014593665,0,0,0,0,0.138211331,0,0,0.525024726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/1999,0.046757945,0,0.048280406,0.031909695,0.053134652,0.065303042,0,0.020311044,0.025575417,0.029276218,0.014326242,0,0,0,0,0.138610199,0,0,0.526515138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/1999,0.046735496,0,0.047317452,0.032808766,0.055312317,0.064653854,0,0.020124084,0.025426089,0.029645632,0.014055089,0,0,0,0,0.138452323,0,0,0.5254689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/1999,0.046459786,0,0.047144608,0.033248937,0.056931286,0.064608454,0,0.020337921,0.025370087,0.029388499,0.014333528,0,0,0,0,0.138256866,0,0,0.523920028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/1999,0.046595674,0,0.046726768,0.034006893,0.058425924,0.063802814,0,0.021067562,0.025373277,0.030683307,0.014542874,0,0,0,0,0.138495365,0,0,0.520279541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/1999,0.046584051,0,0.046484563,0.034164598,0.061279191,0.062924118,0,0.02114054,0.024936133,0.030030395,0.015168115,0,0,0,0,0.138413089,0,0,0.518875206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/1999,0.046343526,0,0.046802623,0.034873378,0.064028595,0.061587832,0,0.020990313,0.024864014,0.029405555,0.015471757,0,0,0,0,0.138231964,0,0,0.517400442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/1999,0.045579534,0,0.048116756,0.035634516,0.065200595,0.062998923,0,0.021537351,0.025340734,0.029205448,0.014911407,0,0,0,0,0.137474079,0,0,0.514000658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1999,0.045700545,0,0.04851937,0.03510225,0.066602291,0.066079769,0,0.022237124,0.025511556,0.030143866,0.015269576,0,0,0,0,0.136093145,0,0,0.508740509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1999,0.046062799,0,0.050106682,0.03528389,0.066721022,0.062490433,0,0.021978108,0.02531567,0.029566669,0.015952859,0,0,0,0,0.136619087,0,0,0.509902781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/1999,0.045970762,0,0.05099596,0.03495447,0.067321906,0.062037391,0,0.022808991,0.025858808,0.028675129,0.015740945,0,0,0,0,0.136586755,0,0,0.509048883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/1999,0.046626209,0,0.052120797,0.033926914,0.067556529,0.064113901,0,0.022679665,0.026193238,0.028886897,0.016782833,0,0,0,0,0.135182733,0,0,0.505930286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/1999,0.046894797,0,0.053108636,0.032482865,0.065611292,0.063685654,0,0.023136013,0.027069488,0.029833831,0.016253793,0,0,0,0,0.135243021,0,0,0.50668061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/1999,0.047393716,0,0.049640907,0.032120789,0.066903706,0.063519251,0,0.024146143,0.027392797,0.030736737,0.017141367,0,0,0,0,0.135075519,0,0,0.50592907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/1999,0.04675187,0,0.051732362,0.030807757,0.070342994,0.063258035,0,0.024255333,0.026639302,0.031528109,0.01706849,0,0,0,0,0.13422795,0,0,0.503387796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
