,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,,,,,,,,,,,,,,,,,,
10/26/1999,0.011744326,0.014675295,0.012402488,0.020343332,0.017356934,0.02743885,0.018070516,0.023430284,0.052962575,0.043714481,0.077724678,0.159623336,0.029917063,0.138338271,0.164595227,0.061108125,0.051470425,0.075083793,,,,,,,,,,,,,,,,,,
10/27/1999,0.011707311,0.014612635,0.012282962,0.020212156,0.017262756,0.027527805,0.018183196,0.023549695,0.053080042,0.04383637,0.077812147,0.159916396,0.030203008,0.138708596,0.16497792,0.060965403,0.051288236,0.073873365,3.7015E-05,6.26595E-05,0.000119526,0.000131176,9.4178E-05,-8.89557E-05,-0.00011268,-0.000119411,-0.000117466,-0.000121889,-8.74685E-05,-0.000293059,-0.000285945,-0.000370326,-0.000382693,0.000142723,0.000182189,0.001210428
10/28/1999,0.011858621,0.014731563,0.012465419,0.020523685,0.017496096,0.027468887,0.018099131,0.023451571,0.052209437,0.043993564,0.078392301,0.160583848,0.030221173,0.138984025,0.164767289,0.061147648,0.051070216,0.072535525,,,,,,,,,,,,,,,,,,
10/29/1999,0.012254662,0.015164892,0.012899275,0.020978052,0.017899254,0.02737616,0.018218226,0.023639856,0.052144196,0.044139908,0.078583648,0.160291651,0.030376683,0.138268481,0.163727412,0.060982808,0.049537694,0.07351714,,,,,,,,,,,,,,,,,,
11/1/1999,0.012434766,0.015423594,0.013057831,0.021100833,0.017950046,0.027743842,0.018517604,0.023846893,0.052079752,0.044313902,0.078945893,0.160059998,0.030261863,0.137276917,0.162454711,0.061508031,0.049376812,0.073646711,,,,,,,,,,,,,,,,,,
11/2/1999,0.012375086,0.015327304,0.013061431,0.020983866,0.017879723,0.027771663,0.018570878,0.023870499,0.05267418,0.044263833,0.078751441,0.159986102,0.030267,0.137448444,0.16284795,0.061852984,0.050247323,0.071820293,,,,,,,,,,,,,,,,,,
11/3/1999,0.012288896,0.015364768,0.012968205,0.020928764,0.017718902,0.02782852,0.018493116,0.023793502,0.053208879,0.044188818,0.078925199,0.159841768,0.030463489,0.137189634,0.163035216,0.062375122,0.049882748,0.071504453,,,,,,,,,,,,,,,,,,
11/4/1999,0.012344233,0.015431549,0.012988506,0.020872018,0.017741638,0.02772713,0.018527813,0.023750847,0.053592421,0.04406288,0.07881615,0.159644329,0.030544955,0.136974722,0.163380658,0.06242057,0.049772632,0.071406949,,,,,,,,,,,,,,,,,,
11/5/1999,0.012379924,0.015484832,0.012991516,0.020805927,0.017718343,0.028041495,0.018694401,0.023720895,0.053926395,0.044042682,0.078940686,0.159557108,0.030705021,0.136864803,0.163403985,0.062081459,0.04958156,0.071058969,,,,,,,,,,,,,,,,,,
11/8/1999,0.012510205,0.015610994,0.013068123,0.020853794,0.017767247,0.027821725,0.018680028,0.023562435,0.0545839,0.043962097,0.079105764,0.159531166,0.030691706,0.136600908,0.163964308,0.061610197,0.049420955,0.070654448,,,,,,,,,,,,,,,,,,
11/9/1999,0.012575375,0.015710279,0.013129706,0.020862577,0.017809457,0.027641589,0.018632328,0.023530684,0.055256419,0.043874282,0.078895531,0.159182952,0.030857982,0.136478742,0.164150054,0.061731702,0.049492043,0.0701883,,,,,,,,,,,,,,,,,,
11/10/1999,0.012448267,0.015502494,0.012965133,0.020648315,0.017641049,0.027595644,0.018777196,0.023667096,0.055562967,0.043679402,0.078750196,0.158839661,0.031060375,0.136303712,0.16447454,0.061507898,0.049905509,0.070670545,,,,,,,,,,,,,,,,,,
11/12/1999,0.012539605,0.015427636,0.012983973,0.020610657,0.017720467,0.027862569,0.018960766,0.023723022,0.05593032,0.043731238,0.07839211,0.158211318,0.030939932,0.135967119,0.164107656,0.061149465,0.050046806,0.07169534,,,,,,,,,,,,,,,,,,
11/15/1999,0.012683755,0.015544208,0.013090064,0.020792982,0.017827952,0.027675815,0.018874181,0.023641511,0.055888855,0.04377534,0.078940432,0.158670721,0.030946883,0.135946935,0.163771666,0.060981461,0.050450605,0.070496634,,,,,,,,,,,,,,,,,,
11/16/1999,0.0126485,0.015520949,0.013057096,0.020850086,0.017776421,0.027465133,0.019097968,0.023811082,0.056090401,0.043795201,0.07901026,0.158765805,0.030895864,0.136077216,0.163329392,0.060627184,0.05075889,0.070422552,,,,,,,,,,,,,,,,,,
11/17/1999,0.012882008,0.015729676,0.013283785,0.021055118,0.017983456,0.02750902,0.019056986,0.023887013,0.056117297,0.043951499,0.078645998,0.158223441,0.030619342,0.135605337,0.162776123,0.060558419,0.051053571,0.07106191,,,,,,,,,,,,,,,,,,
11/18/1999,0.012784697,0.015660969,0.013262399,0.020973392,0.017952133,0.027806937,0.019194399,0.024150297,0.05573716,0.044087965,0.078228483,0.158050205,0.030291393,0.135820346,0.163001968,0.060562795,0.051404642,0.071029821,,,,,,,,,,,,,,,,,,
