,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,SHV
10/26/1999,0.011744326,0,0,0,0,0.02743885,0.018070516,0.023430284,0.052962575,0.043714481,0,0,0.029917063,0.138338271,0,0,0.051470425,0.075083793,0.527829415
10/27/1999,0.01169391,0,0,0,0,0.027496294,0.018162382,0.023522737,0.05301928,0.04378619,0,0,0.030168434,0.138549814,0,0,0.051229526,0.073788801,0.528582632
10/28/1999,0.011858492,0,0,0,0,0.027468587,0.018098933,0.023451315,0.052208866,0.043993083,0,0,0.030220843,0.138982506,0,0,0.051069658,0.072534732,0.530112986
10/29/1999,0.012295635,0,0,0,0,0.02746769,0.018279137,0.023718894,0.052318535,0.044287485,0,0,0.030478244,0.138730768,0,0,0.049703318,0.073762938,0.528957357
11/1/1999,0.012527228,0,0,0,0,0.027950139,0.018655298,0.024024213,0.052467006,0.044643411,0,0,0.030486884,0.138297679,0,0,0.049743968,0.074194333,0.527009841
11/2/1999,0.012461364,0,0,0,0,0.027965284,0.018700352,0.024036921,0.053041418,0.044572435,0,0,0.030478018,0.138406719,0,0,0.050597642,0.072321016,0.527418831
11/3/1999,0.012394296,0,0,0,0,0.028067201,0.018651728,0.023997575,0.053665243,0.044567818,0,0,0.030724769,0.138366287,0,0,0.050310583,0.072117735,0.527136765
11/4/1999,0.012465016,0,0,0,0,0.027998427,0.018709099,0.023983238,0.054116797,0.044494014,0,0,0.030843823,0.138314952,0,0,0.050259633,0.072105631,0.526709372
11/5/1999,0.01251881,0,0,0,0,0.028356082,0.018904127,0.02398701,0.054531375,0.04453678,0,0,0.03104949,0.138400237,0,0,0.050137797,0.071856153,0.52572214
11/8/1999,0.01267417,0,0,0,0,0.028186372,0.018924859,0.023871257,0.055299305,0.044538288,0,0,0.031093968,0.138391272,0,0,0.050068692,0.071580483,0.525371335
11/9/1999,0.012748616,0,0,0,0,0.028022386,0.018889011,0.023854848,0.056017644,0.044478705,0,0,0.031283088,0.138358905,0,0,0.050173856,0.07115523,0.525017711
11/10/1999,0.012615703,0,0,0,0,0.027966821,0.01902976,0.023985431,0.05631032,0.044266915,0,0,0.031478155,0.138137073,0,0,0.050576766,0.071621104,0.524011952
11/12/1999,0.012702849,0,0,0,0,0.028225291,0.019207602,0.024031855,0.056658436,0.044300543,0,0,0.031342716,0.137737174,0,0,0.050698329,0.072628689,0.522466516
11/15/1999,0.012986757,0,0,0,0,0.028010146,0.019392487,0.024145038,0.056571743,0.044463487,0,0,0.031370711,0.137808773,0,0,0.051141543,0.071520519,0.522588797
11/16/1999,0.012937965,0,0,0,0,0.027769671,0.019603186,0.024294384,0.056720099,0.044440055,0,0,0.031288293,0.137805624,0,0,0.051403612,0.071375329,0.522361781
